command,category,users_count,freq_norm_avg,users_sparkline,freq_norm_avg_bar
du,core,5,0.025157877171385158,▁▁▁▂▁▃▂▁▁▁█▁▁▁▁,▍             
dfr collect,lazyframe,2,0.02482957675788259,▆█▁▁▁▁▁▁▁▁▁▁▁▁▁,▍             
items,filters,4,0.02482659767130418,▆▁▃▂▁▁▁█▁▁▁▁▁▁▁,▍             
to nuon,formats,6,0.02456521133253325,▂▂▂▂▁▁▁▁▁▁█▁▁▁▁,▍             
const,core,3,0.024499753970949997,▁▁▁▁▁█▁▁▁▁▁▁▅▁▁,▍             
into string,conversions,4,0.02423281766965569,▇█▁▅▁▁▁▁▁▁▁▁▂▁▁,▍             
path split,path,3,0.023681860895718637,▁▁▇▁▁▁▁▁▁█▁▁▁▁▁,▍             
str starts-with,strings,5,0.02342504054296169,▄▃▄▁▁▁▁▁▁▁█▁▃▁▁,▍             
overlay list,core,3,0.022931085827139222,▂▃▁▁▁█▁▁▁▁▁▁▁▁▁,▍             
path parse,path,7,0.02286521822793192,▂▃▃▃▁▃▁▁▁▁█▁▂▁▁,▍             
alias,core,5,0.022316522572284635,▃▂▁▆▁█▁▁▁▁▁▁▃▁▁,▎             
dfr append,dataframe,2,0.021834569247568443,█▆▁▁▁▁▁▁▁▁▁▁▁▁▁,▎             
enumerate,filters,5,0.021570094049590493,█▅▃▄▁▁▁▁▁▁▁▁█▁▁,▎             
export def-env,core,2,0.021360088052760934,▂▁▁▁▁▁▁▁▁▁▁▁█▁▁,▎             
inspect,debug,4,0.021190944579964427,▅▆▁▆▁▁▁▁▁█▁▁▁▁▁,▎             
sleep,platform,3,0.019642749987791776,▁▁█▆▁▁▁▁▁▁▁▁▁▁▁,▎             
histogram,chart,3,0.01947975728462997,▁▁▁▂▁█▁▁▁▁▁▁▁▁▁,▎             
values,filters,5,0.019397949672759682,█▇▁▃▁▁▂▁▁▁▁▁▂▁▁,▎             
dfr group-by,lazyframe,3,0.019343613694403287,▅▅▁▁▁█▁▁▁▁▁▁▁▁▁,▎             
window,filters,4,0.018735784629733604,▃█▆▆▁▁▁▁▁▁▁▁▁▁▁,▎             
from ssv,formats,2,0.017961719744798297,▃▁▁█▁▁▁▁▁▁▁▁▁▁▁,▎             
random integer,random,2,0.017834959082375618,▁▁▁▁▁▁▁▁▁▁▁█▁▁▁,▎             
path basename,path,3,0.017745254861113398,▇█▆▁▁▁▁▁▁▁▁▁▁▁▁,▎             
skip until,filters,2,0.0176360818509729,█▁█▁▁▁▁▁▁▁▁▁▁▁▁,▎             
math sum,math,5,0.01758642895335962,▅▅▁▃▃█▁▁▁▁▁▁▁▁▁,▎             
into decimal,conversions,4,0.017492764148155204,▂▁▁▂▁█▁▁▁▁▁▁▂▁▁,▎             
sort,filters,3,0.017327260312376223,▄▁▁▁▁▁▇▁█▁▁▁▁▁▁,▎             
math abs,math,2,0.016943229263332044,▁▁▁▁▁█▁▁▁▁▁▁▁▁▁,▎             
ansi strip,platform,3,0.016852983367715204,▃▁▁█▁▁▁▁▁▁▁▁▂▁▁,▎             
overlay hide,core,3,0.016759055428295852,▄▇▁▁▁█▁▁▁▁▁▁▁▁▁,▎             
term size,platform,4,0.016577844941255557,▃▃▁█▁▁▅▁▁▁▁▁▁▁▁,▎             
dfr agg,lazyframe,3,0.01656446164311583,▅▅▁▁▁█▁▁▁▁▁▁▁▁▁,▎             
keybindings,platform,4,0.016001585932696044,▁▅▃█▁▁▁▁▁▁▁▁▁▁▁,▎             
take,filters,3,0.015890488062190945,▁▁▁█▁▁▁▁▁▁▁▁▂▁▁,▎             
view,debug,5,0.015842127551036665,▁▃▁▃▁█▅▁▁▁▁▁▁▁▁,▎             
nu-highlight,strings,4,0.01568718892688695,▂▁▁▂▁█▁▁▁▁▁▁▆▁▁,▎             
zip,filters,7,0.015484730663852272,▂█▅▇▁▆▁▇▁▁▁▁▄▁▁,▎             
dfr first,dataframe,1,0.015453436356242375,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▎             
detect columns,strings,2,0.01516076773845159,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,▎             
dfr value-counts,dataframe,2,0.01516023725825005,▅█▁▁▁▁▁▁▁▁▁▁▁▁▁,▎             
