name,category,freq_overall,users_count,f_n_per_user,f_n_by_user,importance,importance_b,crate,first_tag,last_tag
view,debug,82,5,0.014030220752327054,▁▁▃█▁▁▅▁▁▁▁▁▁▁▁,0.08110755023193965,█           ,nu-command,0.76.0,0.84.0
dfr unique,dataframe or lazyframe,340,2,0.034595057517627176,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.08055009486041026,█           ,nu-cmd-dataframe,0.60.0,0.84.0
query web,,105,1,0.06885245901639345,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁,0.0803533074421772,█           ,nu_plugin_query,0.76.0,0.84.0
match,core,73,3,0.022388620886898872,▂▂▁▁▁▁▁▁▁▁▁▁█▁▁,0.07936304608710273,█           ,nu-cmd-lang,0.60.0,0.84.0
export alias,core,175,3,0.022324196458268507,█▁▁▁▁▁▁▁▁▁▁▁█▁▁,0.07924877816504254,█           ,nu-cmd-lang,0.60.0,0.84.0
term size,platform,150,4,0.01646327648076544,▃▂█▁▁▁▅▁▁▁▁▁▁▁▁,0.07858364359967074,█           ,nu-command,0.27.0,0.84.0
nu-highlight,strings,64,5,0.012997816314625649,▂▁▂█▁▁▁▁▁▁▁▁▆▁▁,0.07806641386575447,▉           ,nu-cli,0.60.0,0.84.0
dfr contains,dataframe,58,3,0.021113844919394168,▂▂▁▁▁▁▁▁▁▁▁█▁▁▁,0.07707052562550286,▉           ,nu-cmd-dataframe,0.60.0,0.84.0
ansi strip,platform,166,4,0.015745643839432024,▃▄█▁▁▁▁▁▁▁▁▁▂▁▁,0.07685183423912871,▉           ,nu-command,0.28.0,0.84.0
sort,filters,149,4,0.015744936069312716,▄▄▁▁▁▁▇▁█▁▁▁▁▁▁,0.07685010696637613,▉           ,nu-command,0.61.0,0.84.0
pwd,,135,2,0.03070014356782745,▁▃█▁▁▁▁▁▁▁▁▁▁▁▁,0.07588033349099056,▉           ,nu-command,0.11.0,0.44.0
histogram,chart,66,4,0.015169899429867587,▁▁▂█▁▁▁▁▁▁▁▁▁▁▁,0.07543369411026139,▉           ,nu-command,0.11.0,0.84.0
overlay list,core,98,3,0.020083381373852675,▂▂▁█▁▁▁▁▁▁▁▁▁▁▁,0.07516628302941818,▉           ,nu-cmd-lang,0.63.0,0.84.0
dfr group-by,lazyframe,181,3,0.020056427738663177,▅▅▁█▁▁▁▁▁▁▁▁▁▁▁,0.07511582626722046,▉           ,nu-cmd-dataframe,0.60.0,0.84.0
sleep,platform,92,4,0.014884811981678863,▁▁▆▁▁█▁▁▁▁▁▁▁▁▁,0.07472152074398274,▉           ,nu-command,0.19.0,0.84.0
move,filters,181,4,0.01483107418052362,█▇▁▁▁▆▁▁█▁▁▁▁▁▁,0.07458651732902845,▉           ,nu-command,0.17.0,0.84.0
to md,formats,94,5,0.011457713723981775,▃▃▄█▁▁▁▆▁▁▁▁▁▁▁,0.07329561876860138,▉           ,nu-command,0.14.0,0.84.0
window,filters,136,4,0.013972339579466565,▄▄▇▁▁█▁▁▁▁▁▁▁▁▁,0.0723950031868417,▉           ,nu-command,0.60.0,0.84.0
enter,,44,1,0.05562579013906448,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,0.07222409794721307,▉           ,nu-command,0.11.0,0.79.0
path dirname,path,54,5,0.010884078865197678,▂▁▃▁▁▁▁▁▁█▁▁▂▁▁,0.07143727370948932,▉           ,nu-command,0.19.0,0.84.0
path basename,path,207,3,0.017860398362592098,▇█▁▁▁▆▁▁▁▁▁▁▁▁▁,0.07088432822313868,▉           ,nu-command,0.18.1,0.84.0
skip until,filters,199,3,0.01766370154626978,██▁▁▁█▁▁▁▁▁▁▁▁▁,0.07049292255286341,▉           ,nu-command,0.17.0,0.84.0
dfr drop,dataframe,260,2,0.02645504398406784,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.07043901457634623,▉           ,nu-cmd-dataframe,0.60.0,0.84.0
dfr append,dataframe,258,2,0.026251543645728855,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.0701675722773587,▉           ,nu-cmd-dataframe,0.60.0,0.84.0
seq,generators,124,4,0.01299196883072346,▅▂█▁▁▁▁▁▁▁▁▁▄▁▁,0.06980901505458477,▉           ,nu-command,0.22.0,0.84.0
dfr agg,lazyframe,148,3,0.016757201852112786,▅▅▁█▁▁▁▁▁▁▁▁▁▁▁,0.06866025432557825,▉           ,nu-cmd-dataframe,0.76.0,0.84.0
decode hex,formats,11,1,0.0502283105022831,▁▁▁▁▁▁▁▁▁▁█▁▁▁▁,0.06863068206810105,▉           ,nu-cmd-extra,0.78.0,0.84.0
take,filters,80,4,0.01227428152525828,▁▁█▁▁▁▁▁▁▁▁▁▂▁▁,0.0678534705291282,▉           ,nu-command,0.61.0,0.84.0
to csv,formats,193,3,0.01625762709882198,██▆▁▁▁▁▁▁▁▁▁▁▁▁,0.06762904211358893,▊           ,nu-command,0.14.0,0.84.0
tutor,misc,13,2,0.023136549209980563,▁▁▁▁▁▁▁▁▁▁█▁▁▁▁,0.06587313310635251,▊           ,nu-command,0.36.0,0.84.0
keybindings,platform,76,4,0.01132452387799341,▁▁█▁▁▃▁▁▁▁▁▁▁▁▁,0.06517544445398972,▊           ,nu-cli,0.60.0,0.84.0
into duration,conversions,73,4,0.011239758470936223,▁▁█▁▁▁▁▁▁▁▁▁▂▁▁,0.0649310633158972,▊           ,nu-command,0.60.0,0.84.0
bytes at,bytes,68,1,0.04459016393442623,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁,0.06466414868556275,▊           ,nu-command,0.66.0,0.84.0
dfr collect,lazyframe,213,2,0.0216727032083812,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.06375519370018913,▊           ,nu-cmd-dataframe,0.63.0,0.84.0
export def-env,core,31,3,0.014307947364433969,▂▁▁▁▁▁▁▁▁▁▁▁█▁▁,0.06344440431968523,▊           ,nu-cmd-lang,0.60.0,0.84.0
